Team,RPI
Duke,0.671
Kansas,0.658
Virginia,0.656
North Carolina,0.653
Michigan State,0.648
Houston,0.647
Tennessee,0.645
Gonzaga,0.644
Kentucky,0.643
Buffalo,0.641
Michigan,0.636
Florida State,0.635
Cincinnati,0.628
LSU,0.626
Purdue,0.621
Kansas State,0.62
Texas Tech,0.62
Auburn,0.619
Villanova,0.619
Nevada,0.614
Wofford,0.613
Washington,0.61
Mississippi State,0.608
VCU,0.607
Wisconsin,0.606
Virginia Tech,0.605
UCF,0.605
Utah State,0.604
Maryland,0.602
NC-Grnsboro,0.601
Iowa State,0.6
Marquette,0.599
Louisville,0.595
St Marys,0.586
Temple,0.586
Belmont,0.585
Syracuse,0.581
Murray State,0.581
N Mex State,0.581
Oklahoma,0.581
Seton Hall,0.58
Arizona St,0.579
Toledo,0.578
Minnesota,0.578
Yale,0.576
Oregon,0.575
Georgia State,0.575
Northeastern,0.572
Memphis,0.57
TX Christian,0.57
Hofstra,0.569
Harvard,0.568
Iowa,0.567
Alabama,0.567
St Johns,0.567
Clemson,0.566
Furman,0.566
Florida,0.566
Baylor,0.566
Davidson,0.565
Lipscomb,0.565
Creighton,0.564
Utah Val St,0.563
Texas,0.563
Old Dominion,0.562
Vermont,0.561
Ole Miss,0.561
UC Irvine,0.561
BYU,0.559
E Tenn St,0.559
Drake,0.556
Ohio State,0.556
Wichita St,0.556
Colorado,0.555
Montana,0.551
W Kentucky,0.551
Xavier,0.551
Dayton,0.551
GA Southern,0.551
Bowling Grn,0.551
Liberty,0.55
Kent State,0.55
San Diego,0.55
Saint Louis,0.549
NC State,0.548
San Diego St,0.548
Colgate,0.547
Col Charlestn,0.546
San Fransco,0.546
Nebraska,0.545
Bucknell,0.545
Georgetown,0.545
Arkansas,0.544
Indiana,0.543
S Mississippi,0.543
Penn State,0.542
Providence,0.542
Butler,0.541
Northern Kentucky,0.541
Marshall,0.54
S Carolina,0.54
Radford,0.538
Fresno St,0.537
LA Tech,0.537
UCLA,0.537
Oregon St,0.536
Tulsa,0.535
Lehigh,0.535
W Virginia,0.534
Utah,0.533
U Penn,0.532
Central Mich,0.532
Texas State,0.531
Stony Brook,0.531
Austin Peay,0.531
Rhode Island,0.53
Princeton,0.53
Oklahoma St,0.53
Arizona,0.53
Brown,0.529
Jksnville St,0.528
Grd Canyon,0.528
Loyola Mymt,0.527
Texas A&M,0.526
St Bonavent,0.525
Abilene Christian,0.525
Neb Omaha,0.524
Missouri,0.523
Miami,0.523
S Dakota St,0.521
NJIT,0.52
Loyola-Chi,0.52
S Illinois,0.519
Gardner-Webb,0.517
S Florida,0.516
E Michigan,0.515
TX-San Ant,0.514
Connecticut,0.514
S Methodist,0.514
TX-Pan Am,0.513
Stanford,0.513
Rutgers,0.512
Sam Hous St,0.512
UAB,0.512
LA Lafayette,0.511
Ohio,0.51
TX-Arlington,0.51
N Iowa,0.51
Wright State,0.509
Miami,0.509
Prairie View,0.509
Geo Mason,0.507
GA Tech,0.507
Akron,0.507
USC,0.506
N Colorado,0.505
North Texas,0.504
Florida Intl,0.503
UCSB,0.503
Bradley,0.502
N Illinois,0.501
Winthrop,0.5
Hartford,0.5
Boston Col,0.5
Cornell,0.499
DePaul,0.499
Duquesne,0.498
N Florida,0.498
Holy Cross,0.498
UNLV,0.497
Notre Dame,0.497
Campbell,0.497
LA Monroe,0.497
Illinois,0.496
CS Fullerton,0.495
Ball State,0.495
North Dakota State,0.494
Illinois St,0.494
Wake Forest,0.494
Pepperdine,0.494
Pittsburgh,0.494
St Josephs,0.493
St Fran,0.493
Fairleigh Dickinson,0.493
WI-Grn Bay,0.492
Fla Atlantic,0.491
Missouri St,0.491
Georgia,0.49
Pacific,0.49
Maryland BC,0.49
Wm & Mary,0.49
Indiana St,0.489
Santa Clara,0.489
Rider,0.487
E Washingtn,0.487
CS Bakersfld,0.486
Northwestern,0.486
TX Southern,0.486
Samford,0.485
New Mexico State,0.485
California Baptist,0.484
Iona,0.484
Seattle,0.484
Delaware,0.483
Weber State,0.482
Lamar,0.482
